,AEC,AECI,AVA,AZPS,BANC,BCHA,BPAT,CHPD,CISO,CPLE,CPLW,DEAA,DOPD,DUK,EEI,EPE,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GRIS,GRMA,GVL,GWA,HGMA,HQT,HST,IESO,IID,IPCO,ISNE,JEA,LDWP,LGEE,MHEB,MISO,NBSO,NEVP,NEWL,NSB,NWMT,NYIS,OVEC,PACE,PACW,PGE,PJM,PNM,PSCO,PSEI,SC,SCEG,SCL,SEC,SEPA,SOCO,SPA,SRP,SWPP,TAL,TEC,TEPC,TIDC,TPWR,TVA,WACM,WALC,WAUE,WAUW,WWA,YAD
GCPD,0.0,0.0,0.0075524156655057285,0.00020338361967073144,0.008677432120381674,0.0,0.026043134015286774,0.0,0.0023592012782040796,0.0,0.0,0.0,0.0,0.0,0.0,1.6046125782106507e-05,0.0,0.0,0.0,0.0,0.8848974585302714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019424999003023469,0.0,0.0,0.0052592280920219165,0.0,0.0,0.0,0.0,0.0011001114845034445,0.0,0.0,0.0,0.0,0.0,0.005111998750884773,0.03187722498640282,0.011930421170517028,0.0,2.0186094512848912e-05,0.0,0.009873400672957491,0.0,0.0,0.006859324478201585,0.0,0.0,0.0,0.0,3.485943602976644e-05,0.0,0.0,0.0,4.469094086385182e-05,0.001191448820354904,0.00864061935190166,0.0,0.0,0.0001533015235541022,0.0,0.0,0.0,0.0
GRID,0.0,0.0,0.004894378685300748,2.2649906165967332e-05,0.005623450918772517,0.0,0.016877376149332362,0.0,0.0014845749715772256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007389720129874973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004889350181202191,0.0,0.0,0.0033415411736801045,0.0,0.0,0.0,0.0,0.0005052280290690537,0.0,0.0,0.0,0.0,0.0,0.0005692999869681487,0.0035499604000557884,0.006705714545527925,0.0,0.0,0.0,0.006398503994671394,0.0,0.0,0.004445217663933151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000759357100914863,0.005599594230081717,0.0,0.0,5.6813654148688965e-05,0.0,0.0,0.0,0.0
GRIF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007766393367048233,0.0,0.0,0.0,0.0,0.0,0.0,0.0015055233792153923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008138299058728714,0.0,0.0,0.0,0.0,3.0076114147990107e-05,0.0,0.0,0.0,0.0,0.0,1.2268120179673396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034314665846095077,0.0,0.0,0.0,0.005139974929712284,0.00022373816574049586,0.0,0.0,0.0,0.04993810262199388,0.0,0.0,0.0,0.0
GRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMA,0.0,0.0,0.0,0.0921914218222351,0.0,0.0,0.0,0.0,0.004515344182525174,0.0,0.0,0.0,0.0,0.0,0.0,0.005712819823524858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8060020225536642e-05,0.0,0.0,0.009192177485271636,0.0,0.0,0.0,0.0,0.00012113506161321209,0.0,0.0,0.0,0.0,0.0,6.435632652222432e-05,0.0,0.0,0.0,0.009150121121801287,6.472374944781961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012244139333497954,0.0,0.0,0.0,0.014929498651620991,0.0013008030592058049,0.0,0.0,0.0004957406622177565,0.01772048312808591,0.0,0.0,0.0,0.0
GVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041611179263612865,0.0,0.0,0.0,0.0,0.0,0.0,0.7956784935321317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010355184620250836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3685855541128526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWA,0.0,0.0,0.0012166704623243277,2.5720908758306617e-05,0.0003323866487220942,0.0,0.0009975750795248861,0.0,8.922749900333135e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664313359851624e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003191102047104303,0.0,0.0,0.00021210212172169472,0.0,0.0,0.0,0.0,7.31834566302421e-05,0.0,0.0,0.02611907615742407,0.0,0.0,0.0005397023462702686,0.00022553581270689648,0.00039729811984847417,0.0,0.0,1.5810762679091285e-05,0.0003781978949125404,0.0,0.0,0.0002627445359614717,0.0,0.0,0.0,0.0,0.0,3.382571640582082e-05,0.0,0.0,0.0,4.530939778630193e-05,0.0003309765457589706,0.0,0.00012109987489243872,2.3443136675484416e-05,0.0,0.01140591117354245,0.0,0.0
HGMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003191429439289779,0.0,0.0,0.0,0.0,0.0,0.0,0.002099333939404691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.636267601651476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.825879122245018e-05,0.0,0.0,0.0,0.0,0.0,0.00020084666219012407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05617801259215515,0.0,0.0,0.0,0.007166928031631311,0.0009194030421720719,0.0,0.0,0.0,1.0699686231931709e-05,0.0,0.0,0.0,0.0
HQT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10028988207297372,0.0,0.0,0.0,0.0,0.00013872666289337158,0.0,0.0,0.0,0.0,0.0,0.05591956234277341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47980451071445485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IESO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014385795520038372,0.0,0.0,0.0,0.00010688498770015261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008647867625778717,0.0,0.0,4.579650069055575e-05,0.0,0.014586153970832584,0.0,0.0,0.0,0.0,0.0,0.042489260123927376,0.0,0.0,0.0,0.0,0.0007006416300511214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4776996636626314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009025274845006142,0.0,0.0,0.0,0.0,0.0,0.0
IID,0.0,0.0,0.0,0.002279526090536482,0.0,0.0,0.0,0.0,0.006734542026040852,0.0,0.0,0.0,0.0,0.0,0.0,0.00030025812242109396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0010868083869804259,0.0,0.0,0.0,0.0,0.00015604432255373214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022624599356904995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006651567207720709,0.0,0.0,0.0,0.000911997801829269,0.0019401207340355743,0.0,0.0,1.2257688962040262e-05,0.005712366972069616,0.0,0.0,0.0,0.0
IPCO,0.0,0.0,0.0,0.00017466240511573278,0.0,0.0,0.0,0.0,0.00010778297162981803,0.0,0.0,0.0,0.0,0.0,0.0,8.335224491586687e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6571103006417329,0.0,0.0,0.0004932107710351038,0.0,0.0,0.0,0.0,0.023168691274106024,0.0,0.0,0.0,0.0,0.0,0.004390097876238398,0.02737209180801817,0.0016412979489767536,0.0,1.733547580289757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000188509213017443,0.0,0.0,0.0,0.00027590556319179486,3.105066049426856e-05,0.0,0.0,0.0,0.0024393964843753228,0.0,0.0,0.0,0.0
ISNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518256118656156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021673859123473912,0.001489870753653751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003709537523135441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616693497485943e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.526642095286917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
