,BAA1_1_2,BAA2_1_2,Transacting BAAs_1_2,Exchange_1_2,BAA2_2_1,BAA1_2_1,Transacting BAAs_2_1,Exchange_2_1,Exchange_1_2_abs,Exchange_2_1_abs,Status_Check,Delta,Percent_Diff_Avg,Exchange_mean,Final_Exchange,Export_BAA,Import_BAA
1212,FPC,TAL,FPC-TAL,-846015.0,FPC,TAL,TAL-FPC,846461.0,846015.0,846461.0,keep,-446.0,0.0005270385293159596,846238.0,846238.0,TAL,FPC
1213,FPC,TEC,FPC-TEC,1177687.0,FPC,TEC,TEC-FPC,-1181247.0,1177687.0,1181247.0,keep,-3560.0,0.003018319383336465,1179467.0,1179467.0,FPC,TEC
1240,FPL,FMPP,FPL-FMPP,2866856.0,FPL,FMPP,FMPP-FPL,-2797034.0,2866856.0,2797034.0,keep,69822.0,0.024658887227995863,2831945.0,2831945.0,FPL,FMPP
1241,FPL,FPC,FPL-FPC,3918774.0,FPL,FPC,FPC-FPL,-3988730.0,3918774.0,3988730.0,keep,-69956.0,0.01769495799916515,3953752.0,3953752.0,FPL,FPC
1248,FPL,GVL,FPL-GVL,483747.0,FPL,GVL,GVL-FPL,-493063.0,483747.0,493063.0,keep,-9316.0,0.019076068913380928,488405.0,488405.0,FPL,GVL
1251,FPL,HST,FPL-HST,531444.0,FPL,HST,HST-FPL,-490556.0,531444.0,490556.0,keep,40888.0,0.08014393606790221,511000.0,511000.0,FPL,HST
1260,FPL,NSB,FPL-NSB,248655.0,FPL,NSB,NSB-FPL,-249109.0,248655.0,249109.0,keep,-454.0,0.0018241591504301602,248882.0,248882.0,FPL,NSB
1274,FPL,SEC,FPL-SEC,-5777680.0,FPL,SEC,SEC-FPL,5828794.0,5777680.0,5828794.0,keep,-51114.0,0.008808013760413513,5803237.0,5803237.0,SEC,FPL
1276,FPL,SOCO,FPL-SOCO,-5185330.0,FPL,SOCO,SOCO-FPL,5095641.0,5185330.0,5095641.0,keep,89689.0,0.01744890171409119,5140485.5,5140485.5,SOCO,FPL
1281,FPL,TEC,FPL-TEC,-1720510.0,FPL,TEC,TEC-FPL,1750516.0,1720510.0,1750516.0,keep,-30006.0,0.017290704560746162,1735513.0,1735513.0,TEC,FPL
1294,GCPD,AVA,GCPD-AVA,-26768.0,GCPD,AVA,AVA-GCPD,26768.0,26768.0,26768.0,keep,0.0,0.0,26768.0,26768.0,AVA,GCPD
1297,GCPD,BPAT,GCPD-BPAT,4873389.0,GCPD,BPAT,BPAT-GCPD,-4898153.0,4873389.0,4898153.0,keep,-24764.0,0.005068628687660448,4885771.0,4885771.0,GCPD,BPAT
1333,GCPD,PACW,GCPD-PACW,1435037.0,GCPD,PACW,PACW-GCPD,-1435037.0,1435037.0,1435037.0,keep,0.0,0.0,1435037.0,1435037.0,GCPD,PACW
1338,GCPD,PSEI,GCPD-PSEI,-837375.0,GCPD,PSEI,PSEI-GCPD,896378.0,837375.0,896378.0,keep,-59003.0,0.06814282653319631,866876.5,866876.5,PSEI,GCPD
1365,GRID,BPAT,GRID-BPAT,3166260.0,GRID,BPAT,BPAT-GRID,-3166234.0,3166260.0,3166234.0,keep,26.0,8.211614570929893e-06,3166247.0,3166247.0,GRID,BPAT
1491,GRIF,WALC,GRIF-WALC,2075861.0,GRIF,WALC,WALC-GRIF,-2075863.0,2075861.0,2075863.0,keep,-2.0,9.634551815240755e-07,2075862.0,2075862.0,GRIF,WALC
1567,GRMA,AZPS,GRMA-AZPS,6976499.0,GRMA,AZPS,AZPS-GRMA,-6969495.0,6976499.0,6969495.0,keep,7004.0,0.0010044464046959911,6972997.0,6972997.0,GRMA,AZPS
1649,GVL,FPC,GVL-FPC,30077.0,GVL,FPC,FPC-GVL,-28693.0,30077.0,28693.0,keep,1384.0,0.04712499433704681,29385.0,29385.0,GVL,FPC
1650,GVL,FPL,GVL-FPL,-493063.0,GVL,FPL,FPL-GVL,483747.0,493063.0,483747.0,keep,9316.0,0.019076068913380928,488405.0,488405.0,FPL,GVL
1737,GWA,NWMT,GWA-NWMT,570331.0,GWA,NWMT,NWMT-GWA,-574748.0,570331.0,574748.0,keep,-4417.0,0.007714866350806482,572539.5,572539.5,GWA,NWMT
1822,HGMA,SRP,HGMA-SRP,3357398.0,HGMA,SRP,SRP-HGMA,-3357397.0,3357398.0,3357397.0,keep,1.0,2.978497482541975e-07,3357397.5,3357397.5,HGMA,SRP
1854,HST,FPL,HST-FPL,-490556.0,HST,FPL,FPL-HST,531444.0,490556.0,531444.0,keep,-40888.0,0.08014393606790221,511000.0,511000.0,FPL,HST
1907,IID,AZPS,IID-AZPS,170472.0,IID,AZPS,AZPS-IID,-174349.0,170472.0,174349.0,keep,-3877.0,0.022489872596030358,172410.5,172410.5,IID,AZPS
1911,IID,CISO,IID-CISO,1595143.0,IID,CISO,CISO-IID,-1891431.0,1595143.0,1891431.0,keep,-296288.0,0.17119569083802705,1743287.0,1743287.0,IID,CISO
1967,IID,WALC,IID-WALC,215566.0,IID,WALC,WALC-IID,-221625.0,215566.0,221625.0,keep,-6059.0,0.027723187236429914,218595.5,218595.5,IID,WALC
1974,IPCO,AVA,IPCO-AVA,-1104265.0,IPCO,AVA,AVA-IPCO,1108770.0,1104265.0,1108770.0,keep,-4505.0,0.0040713487753319955,1106517.5,1106517.5,AVA,IPCO
1977,IPCO,BPAT,IPCO-BPAT,-203762.0,IPCO,BPAT,BPAT-IPCO,70347.0,203762.0,70347.0,keep,133415.0,1.275643099305448,137054.5,70347.0,BPAT,IPCO
2007,IPCO,NEVP,IPCO-NEVP,933171.0,IPCO,NEVP,NEVP-IPCO,-937306.0,933171.0,937306.0,keep,-4135.0,0.0044213537060624475,935238.5,935238.5,IPCO,NEVP
2009,IPCO,NWMT,IPCO-NWMT,-100108.0,IPCO,NWMT,NWMT-IPCO,100908.0,100108.0,100908.0,keep,-800.0,0.00795969147865827,100508.0,100508.0,NWMT,IPCO
2012,IPCO,PACE,IPCO-PACE,-6316527.0,IPCO,PACE,PACE-IPCO,6355464.0,6316527.0,6355464.0,keep,-38937.0,0.006145422234327957,6335995.5,6335995.5,PACE,IPCO
2013,IPCO,PACW,IPCO-PACW,1480209.0,IPCO,PACW,PACW-IPCO,-1495618.0,1480209.0,1495618.0,keep,-15409.0,0.010356390449656139,1487913.5,1487913.5,IPCO,PACW
2078,ISNE,NYIS,ISNE-NYIS,-3606354.0,ISNE,NYIS,NYIS-ISNE,3566859.0,3606354.0,3566859.0,keep,39495.0,0.011012135656655986,3586606.5,3586606.5,NYIS,ISNE
2124,JEA,FMPP,JEA-FMPP,581739.0,JEA,FMPP,FMPP-JEA,-572125.0,581739.0,572125.0,keep,9614.0,0.016665165864112763,576932.0,576932.0,JEA,FMPP
2158,JEA,SEC,JEA-SEC,583966.0,JEA,SEC,SEC-JEA,-610745.0,583966.0,610745.0,keep,-26779.0,0.04485178582320276,597355.5,597355.5,JEA,SEC
2179,LDWP,AZPS,LDWP-AZPS,-38322.0,LDWP,AZPS,AZPS-LDWP,5597768.0,38322.0,5597768.0,keep,-5559446.0,73.03253548584154,2818045.0,5597768.0,AZPS,LDWP
2181,LDWP,BPAT,LDWP-BPAT,-78337.0,LDWP,BPAT,BPAT-LDWP,15466244.0,78337.0,15466244.0,keep,-15387907.0,98.71355311470612,7772290.5,15466244.0,BPAT,LDWP
2183,LDWP,CISO,LDWP-CISO,141853.0,LDWP,CISO,CISO-LDWP,-21604705.0,141853.0,21604705.0,keep,-21462852.0,76.14845514771162,10873279.0,141853.0,LDWP,CISO
2211,LDWP,NEVP,LDWP-NEVP,31600.0,LDWP,NEVP,NEVP-LDWP,-5159862.0,31600.0,5159862.0,keep,-5128262.0,81.64032397855219,2595731.0,31600.0,LDWP,NEVP
2216,LDWP,PACE,LDWP-PACE,-10606.0,LDWP,PACE,PACE-LDWP,1458101.0,10606.0,1458101.0,keep,-1447495.0,68.73580301738599,734353.5,1458101.0,PACE,LDWP
